"","HGNC.ID","Approved.symbol"
"1","HGNC:5","A1BG"
"2","HGNC:37133","A1BG-AS1"
"3","HGNC:24086","A1CF"
"4","HGNC:7","A2M"
"5","HGNC:27057","A2M-AS1"
"6","HGNC:23336","A2ML1"
"7","HGNC:41022","A2ML1-AS1"
"8","HGNC:41523","A2ML1-AS2"
"9","HGNC:8","A2MP1"
"10","HGNC:30005","A3GALT2"
"11","HGNC:18149","A4GALT"
"12","HGNC:17968","A4GNT"
"13","HGNC:1","A12M1"
"14","HGNC:2","A12M2"
"15","HGNC:3","A12M3"
"16","HGNC:4","A12M4"
"17","HGNC:13666","AAAS"
"18","HGNC:12","AABT"
"19","HGNC:21298","AACS"
"20","HGNC:18226","AACSP1"
"21","HGNC:17","AADAC"
"22","HGNC:24427","AADACL2"
"23","HGNC:50301","AADACL2-AS1"
"24","HGNC:32037","AADACL3"
"25","HGNC:32038","AADACL4"
"26","HGNC:50305","AADACP1"
"27","HGNC:17929","AADAT"
"28","HGNC:16881","AAED1"
"29","HGNC:25662","AAGAB"
"30","HGNC:19679","AAK1"
"31","HGNC:30205","AAMDC"
"32","HGNC:18","AAMP"
"33","HGNC:19","AANAT"
"34","HGNC:15886","AAR2"
"35","HGNC:33842","AARD"
"36","HGNC:20","AARS"
"37","HGNC:21022","AARS2"
"38","HGNC:28417","AARSD1"
"39","HGNC:49894","AARSP1"
"40","HGNC:23993","AASDH"
"41","HGNC:14235","AASDHPPT"
"42","HGNC:17366","AASS"
"43","HGNC:51526","AATBC"
"44","HGNC:19235","AATF"
"45","HGNC:21","AATK"
"46","HGNC:40053","AATK-AS1"
"47","HGNC:22","AAVS1"
"48","HGNC:49667","ABALON"
"49","HGNC:23","ABAT"
"50","HGNC:29","ABCA1"
"51","HGNC:32","ABCA2"
"52","HGNC:33","ABCA3"
"53","HGNC:34","ABCA4"
"54","HGNC:35","ABCA5"
"55","HGNC:36","ABCA6"
"56","HGNC:37","ABCA7"
"57","HGNC:38","ABCA8"
"58","HGNC:39","ABCA9"
"59","HGNC:39983","ABCA9-AS1"
"60","HGNC:30","ABCA10"
"61","HGNC:31","ABCA11P"
"62","HGNC:14637","ABCA12"
"63","HGNC:14638","ABCA13"
"64","HGNC:32972","ABCA17P"
"65","HGNC:40","ABCB1"
"66","HGNC:45","ABCB4"
"67","HGNC:46","ABCB5"
"68","HGNC:47","ABCB6"
"69","HGNC:48","ABCB7"
"70","HGNC:49","ABCB8"
"71","HGNC:50","ABCB9"
"72","HGNC:41","ABCB10"
"73","HGNC:14114","ABCB10P1"
"74","HGNC:31129","ABCB10P3"
"75","HGNC:31130","ABCB10P4"
"76","HGNC:42","ABCB11"
"77","HGNC:51","ABCC1"
"78","HGNC:53","ABCC2"
"79","HGNC:54","ABCC3"
"80","HGNC:55","ABCC4"
"81","HGNC:56","ABCC5"
"82","HGNC:40055","ABCC5-AS1"
"83","HGNC:57","ABCC6"
"84","HGNC:33352","ABCC6P1"
"85","HGNC:33353","ABCC6P2"
"86","HGNC:59","ABCC8"
"87","HGNC:60","ABCC9"
"88","HGNC:52","ABCC10"
"89","HGNC:14639","ABCC11"
"90","HGNC:14640","ABCC12"
"91","HGNC:16022","ABCC13"
"92","HGNC:61","ABCD1"
"93","HGNC:62","ABCD1P1"
"94","HGNC:63","ABCD1P2"
"95","HGNC:64","ABCD1P3"
"96","HGNC:65","ABCD1P4"
"97","HGNC:42662","ABCD1P5"
"98","HGNC:66","ABCD2"
"99","HGNC:67","ABCD3"
"100","HGNC:68","ABCD4"
"101","HGNC:69","ABCE1"
"102","HGNC:70","ABCF1"
"103","HGNC:71","ABCF2"
"104","HGNC:48841","ABCF2P1"
"105","HGNC:48842","ABCF2P2"
"106","HGNC:72","ABCF3"
"107","HGNC:73","ABCG1"
"108","HGNC:74","ABCG2"
"109","HGNC:13884","ABCG4"
"110","HGNC:13886","ABCG5"
"111","HGNC:13887","ABCG8"
"112","HGNC:17553","ABHD1"
"113","HGNC:18717","ABHD2"
"114","HGNC:18718","ABHD3"
"115","HGNC:20154","ABHD4"
"116","HGNC:21396","ABHD5"
"117","HGNC:21398","ABHD6"
"118","HGNC:23759","ABHD8"
"119","HGNC:25656","ABHD10"
"120","HGNC:16407","ABHD11"
"121","HGNC:18289","ABHD11-AS1"
"122","HGNC:40012","ABHD11-AS2"
"123","HGNC:15868","ABHD12"
"124","HGNC:19837","ABHD12B"
"125","HGNC:20293","ABHD13"
"126","HGNC:24538","ABHD14A"
"127","HGNC:38856","ABHD14A-ACY1"
"128","HGNC:28235","ABHD14B"
"129","HGNC:26971","ABHD15"
"130","HGNC:49685","ABHD15-AS1"
"131","HGNC:13921","ABHD16A"
"132","HGNC:16128","ABHD16B"
"133","HGNC:28756","ABHD17A"
"134","HGNC:28394","ABHD17AP1"
"135","HGNC:34041","ABHD17AP3"
"136","HGNC:34042","ABHD17AP4"
"137","HGNC:34043","ABHD17AP5"
"138","HGNC:34044","ABHD17AP6"
"139","HGNC:38508","ABHD17AP7"
"140","HGNC:38509","ABHD17AP8"
"141","HGNC:38510","ABHD17AP9"
"142","HGNC:24278","ABHD17B"
"143","HGNC:26925","ABHD17C"
"144","HGNC:26111","ABHD18"
"145","HGNC:11320","ABI1"
"146","HGNC:20035","ABI1P1"
"147","HGNC:24011","ABI2"
"148","HGNC:29859","ABI3"
"149","HGNC:17265","ABI3BP"
"150","HGNC:76","ABL1"
"151","HGNC:77","ABL2"
"152","HGNC:78","ABLIM1"
"153","HGNC:19195","ABLIM2"
"154","HGNC:29132","ABLIM3"
"155","HGNC:79","ABO"
